indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Meno spesso,7.061413233701167
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Mai,1.40894289747578
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Totale,100
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Continuamente,6.796581186870121
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Più volte al giorno,35.60894413325304
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Ogni giorno (o quasi ogni giorno),29.441673389158417
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Qualche volta a settimana,15.965397157238137
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Meno spesso,8.164418892663585
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Mai,4.0229852408166975
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-ovest,Totale,100
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Continuamente,4.557789683952987
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Più volte al giorno,32.1675776955357
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Ogni giorno (o quasi ogni giorno),31.027114077331643
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Qualche volta a settimana,18.79422877405968
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Meno spesso,9.49921801204726
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Mai,3.953878195698292
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Nord-est,Totale,100
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Centro,Continuamente,6.4384285357655004
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Centro,Più volte al giorno,37.5884630791828
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,ripartizione,Centro,Ogni giorno (o quasi ogni giorno),29.822483603971815
